,Enemy training group,Algorithm,Run,Repetition,Enemy,Energy enemy,Enegy player
542,2,Roulette,4,3,5,0,25.60000000000025
543,2,Roulette,4,4,5,0,28.600000000000257
544,2,Roulette,4,5,5,0,14.800000000000228
545,2,Roulette,4,1,6,20.0,0
546,2,Roulette,4,2,6,20.0,0
547,2,Roulette,4,3,6,20.0,0
548,2,Roulette,4,4,6,20.0,0
549,2,Roulette,4,5,6,20.0,0
550,2,Roulette,4,1,7,50.0,0
551,2,Roulette,4,2,7,50.0,0
552,2,Roulette,4,3,7,50.0,0
553,2,Roulette,4,4,7,50.0,0
554,2,Roulette,4,5,7,50.0,0
555,2,Roulette,4,1,8,80.0,0
556,2,Roulette,4,2,8,80.0,0
557,2,Roulette,4,3,8,80.0,0
558,2,Roulette,4,4,8,80.0,0
559,2,Roulette,4,5,8,80.0,0
560,2,Roulette,5,1,1,80.0,0
561,2,Roulette,5,2,1,80.0,0
562,2,Roulette,5,3,1,80.0,0
563,2,Roulette,5,4,1,80.0,0
564,2,Roulette,5,5,1,80.0,0
565,2,Roulette,5,1,2,0,58
566,2,Roulette,5,2,2,0,58
567,2,Roulette,5,3,2,0,58
568,2,Roulette,5,4,2,0,58
569,2,Roulette,5,5,2,0,58
570,2,Roulette,5,1,3,70.0,0
571,2,Roulette,5,2,3,70.0,0
572,2,Roulette,5,3,3,70.0,0
573,2,Roulette,5,4,3,70.0,0
574,2,Roulette,5,5,3,70.0,0
575,2,Roulette,5,1,4,60.0,0
576,2,Roulette,5,2,4,60.0,0
577,2,Roulette,5,3,4,60.0,0
578,2,Roulette,5,4,4,60.0,0
579,2,Roulette,5,5,4,60.0,0
580,2,Roulette,5,1,5,0,55.00000000000032
581,2,Roulette,5,2,5,0,56.800000000000324
582,2,Roulette,5,3,5,0,31.600000000000264
583,2,Roulette,5,4,5,0,42.40000000000029
584,2,Roulette,5,5,5,0,55.00000000000032
585,2,Roulette,5,1,6,40.0,0
586,2,Roulette,5,2,6,40.0,0
587,2,Roulette,5,3,6,40.0,0
588,2,Roulette,5,4,6,40.0,0
589,2,Roulette,5,5,6,40.0,0
590,2,Roulette,5,1,7,20.0,0
591,2,Roulette,5,2,7,20.0,0
592,2,Roulette,5,3,7,20.0,0
593,2,Roulette,5,4,7,20.0,0
594,2,Roulette,5,5,7,20.0,0
595,2,Roulette,5,1,8,0,25.00000000000025
596,2,Roulette,5,2,8,0,25.00000000000025
597,2,Roulette,5,3,8,0,25.00000000000025
